hotel_name,hotel_id,n_reviews
100 Sunset Boutique Hotel,1486038,273
Padang Bai Beach Resort,1221282,272
Agung Raka Resort & Villas,483916,270
Okawati Hotel,309206,268
Three Brothers Bungalows,813933,267
Prima Cottage,624203,267
SenS Hotel & Spa + Conference Ubud Town Centre,7323345,262
Matahari Bungalow Bar & Restaurant,619252,260
Villa Kresna Boutique Villas,533923,258
Aria Villas Ubud,5962556,255
Yulia Beach Inn,556829,255
Cili Emas Oceanside Resort,1804914,254
Puri Garden Hotel & Restaurant,1070523,254
Tulamben Wreck Divers Resort,953612,253
The Sanyas Suite Seminyak,665896,253
Puri Dajuma Cottages,584503,252
Amaris Hotel Legian - Bali,2044816,252
Plataran Ubud Hotel & Spa,5544684,251
Casa Padma Hotel & Suites,557510,251
Artini 2 Cottages,308745,250
VOUK Hotel & Suites,3911989,249
HARRIS Hotel & Residences Sunset Road,2319260,249
Ivory Resort Seminyak,1996087,248
Sense Sunset Seminyak,4107310,248
Solaris Hotel Kuta,3722188,247
Pradha Villas,662121,246
Flower Bud Bungalows Balangan,1511923,245
Mimpi Resort Menjangan,584504,244
Puri Sading Hotel,649098,244
Aneka Lovina Beach Hotel,450821,243
Gajah Biru Bungalows,1136203,242
Hotel Santika Siligita Nusa Dua,3380866,241
The Open House,6476817,239
Naya Gawana Resort & Spa,578938,239
The Gangsa Private Villa by Kayumanis,640038,237
Sayang Maha Mertha,673165,237
Tanadewa Luxury Villas & Spa,3752956,236
favehotel Kuta Square,3249663,236
Respati Beach Hotel - Sanur,648356,236
The Radiant Hotel and Spa,1819867,235
Green Garden,324015,233
Bhanuswari Resort & Spa,614385,232
Adirama Beach Hotel,638931,231
Lilin Lovina Beach Hotel,2372350,230
Grandmas Legian Hotel,3389491,229
INAYA Putri Bali Resort,308410,229
Legian Village Hotel,588410,228
Amandari,307591,227
The Seminyak Suite Private Villa,648253,227
Hotel Puri Cendana,583636,227
Maison at C Seminyak,6938618,227
De Munut Balinese Resort,309164,226
Ubud Wana Resort,7391932,226
Bali Ayu Hotel,594289,225
Tauch Terminal Resort Tulamben & Spa,595703,224
100 Sunset 2 Hotel,2554802,223
Puri Kelapa Garden Cottages,557520,223
Dash Hotel Seminyak Bali,7808049,223
The Elysian,594928,222
Taman Harum Cottages,308416,222
The Grand Sunti,1869856,221
Villa Air Bali Boutique Resort & Spa,630090,221
Putu Bali Villa and Spa,585124,221
Puri Sebali Resort,6938623,220
Lakeview Ecolodge,309158,220
Aditya Beach Resort,308719,218
The Kirana Hotel Resto and Spa,5888200,217
Samanvaya,3158379,216
Sing Ken Ken Lifestyle Boutique Hotel,677515,216
Bakungs Beach Hotel,588404,216
Anumana Ubud Hotel,8028364,215
Royal Candidasa: Royal Bali Beach Club,1182796,215
Bali Shangrila Beach Club,616901,214
Artemis Villa and Hotel,1727901,213
The Taman Ayu,628633,213
Villa Diana Bali,653658,212
Holiday Inn Resort Bali Benoa,7185368,211
Surya Shanti Villa,1834969,210
Pondok Sari Beach Bungalow Resort & Spa,677025,210
Seminyak Icon,3323867,208
Tarci Bungalow,2183195,207
Brown Feather Hotel,3731927,207
Alila Seminyak,7949561,207
Kuta Angel Hotel,3869724,206
The Sungu Resort & Spa,1158772,205
Yulia Village Inn,648909,205
Legong Keraton Beach Hotel,636133,204
Sari Segara Resort Villas & Spa,450858,203
Ibis Styles Bali Kuta Legian,4751961,201
Vilarisi Hotel,530672,201
Bhuwana Ubud Hotel,3377999,199
The Kuta Playa Hotel and Villas,1934805,199
Melasti Kuta Bungalows and Spa,579807,199
Villa Agung Beach Inn,573451,198
Kori Ubud Resort,629712,198
Sativa Sanur Cottages,450859,198
Puri Dewa Bharata Hotel & Villas,614232,198
Alindra Villa,4885951,197
La Walon Bungalows,309154,197
Bumas Hotel,563643,197
Astagina Resort Villa and Spa Bali,7052800,196
Anantara Vacation Club Bali Seminyak,1148134,196
Amaroossa Suite Bali,3731871,195
Swiss-Belhotel Tuban,7376517,194
Bonsai Villas,1552073,193
Jocs Boutique Hotel & Spa,2510587,193
ANANDA RESORT,758193,192
Puri Maharani Boutique Hotel & Spa,1845415,191
Anini Raka Resort & Spa,659327,191
Sunset Hill,2648944,190
The Griya Villas and Spa,3675831,190
Siesta Legian Hotel,4839221,189
Fat Yogi Cottages,308782,188
Holiday Inn Express Bali Kuta Square,5427067,187
Love F Hotel by fashiontv,7146429,187
Hotel Pertiwi Bisma 1,3929768,187
New Arena Hotel,653769,187
Puri Sebatu Resort,3492501,186
Golden Tulip Devins Hotel Seminyak,6588318,185
The Sunset Bali Hotel,2283526,185
Losari Hotel & Villas,626892,185
Bagus Jati Health & Wellbeing Retreat,307182,184
The Niche Bali,624573,184
Cinta Inn,1885485,184
POP! Hotel Teuku Umar Denpasar,1888682,184
Bali Kuta Resort & Convention Center,1566260,184
Palm Garden Amed Beach & Spa Resort Bali,2040776,183
Sania's House Bungalows,1092688,183
Gazebo Beach Hotel,479529,183
Destiny Boutique Hotel,7217649,182
MaxOneHotels at Bukit Jimbaran,3733692,181
B Hotel Bali,4062337,180
Maya Loka Villas,858505,179
Bhavana Private Villas,635080,179
KajaNe Yangloni Private Boutique Health & Leisure Centre,1991529,178
Villa Karisa,632513,177
Balibaliku Beach Front Luxury Private Pool Villa,754684,176
Luna2 Studiotel,4549522,175
Puri Saraswati Bungalows,610450,174
Four Points by Sheraton Bali,7931034,174
Nirwana Resort and Spa,1215850,173
Le Grande Bali,1379463,173
Rivavi Fashion Hotel,2441523,173
"FRii Bali Echo Beach, Hotel",6579132,172
Sunari Beach Resort,582188,172
Garden View Resort,754624,172
The Jineng Villas,2160996,171
Kebun Indah,1053060,171
Mahogany Hotel,7368744,170
Segara Agung Hotel,1205684,170
Ion Bali Benoa Hotel,5848756,170
Kusnadi Hotel,799529,169
The Temple Lodge,1122064,167
Hotel Santika Kuta Bali,1963611,167
Aston Denpasar Hotel and Convention Center,1538803,167
Bali Paradise Hotel Boutique Resort,1016710,165
Amanusa,307587,164
Arama Riverside Villas,2628605,164
Puri Mangga Sea View Resort & Spa,1024238,163
The Ahimsa,556737,163
"Le 48, Zen & Happy Rezort",1465169,163
The Segara Suites,1632734,160
Alaya Resort Kuta,7856221,160
Bali Court Hotel and Apartments,584554,160
J4 Hotels Legian,5596284,160
NusaBay Lembongan By WHM,498942,159
Diwangkara Beach Hotel & Resort,564815,159
Floating Leaf Eco-Luxury Retreat,6478989,158
Maya Sanur Resort & Spa,7248999,158
Fivelements Bali Retreat,1953197,156
Royal Jimbaran: Royal Bali Beach Club,673616,156
Ramada Bali Sunset Road Kuta,5029656,155
Barong Resort and Spa,629636,154
The One Villa,2427157,154
Hotel The Flora Kuta Bali,648137,154
Sun Boutique Hotel Managed by BENCOOLEN,2520776,154
Uppala Villa Seminyak,3167682,153
Royal Sanur: Royal Bali Beach Club,2157550,153
Nesa Sanur,7353471,151
Inata Bisma Resort & Spa Ubud,3522011,150
Semara Luxury Villa Resort,2288557,149
Ubud Terrace Bungalows,650820,147
Heliconia Villas,633716,147
Gajah Mina Beach Resort,602865,146
Bali Summer Hotel,308757,146
The Sandi Phala,556743,144
The Layar - Designer Villas and Spa,3853500,144
The Alea Hotel Seminyak,6973897,144
Puri Dalem Hotel,566465,143
AQ-VA Hotel & Villas,4877456,143
Ozz Hotel Kuta,3912004,143
The Grand Bali Nusa Dua,306731,141
Rouge Villas & Spa,3806343,141
Jesen's Inn II,1220427,141
H Sovereign Bali,7147798,140
HARRIS Hotel Raya Kuta Bali,5777203,140
Ubud Inn,678397,140
New Kuta Hotel,1490706,139
Parigata Villas Resort,588409,139
Hotel Puri Rai,1379826,139
Y Resort Ubud,2269728,137
D'Bulakan Boutique Resort Ubud,6848768,136
The Hamsa Resort,2658736,136
Berry Hotel,2085922,135
Palloma Hotel Kuta,3767703,134
Hotel Palm Garden,1153442,131
Berry Biz Hotel,6702945,131
Hotel NEO Seminyak - Petitenget,7084244,130
Cleopatra Beach Bungalows,1509565,129
Ubud Village Hotel,552948,129
The Tusita Hotel,3222634,129
Taman Selini Beach Bungalows,631268,128
Anda Amed Resort,629104,128
Mimpi Resort Tulamben,309162,126
Laghawa Beach Inn,650341,126
Balisandy Resort,655424,126
Melka Excelsior Resort Hotel,668974,126
The Spot Legian,3168128,125
Kumala Hotel,623722,125
The Villas at AYANA Resort,7311692,124
"Mandapa, A Ritz-Carlton Reserve",8293999,124
Fourteen Roses Beach Hotel,1163210,124
Ubud Sari Health Resort,636089,123
Puri Taman Sari,1764391,121
kaMAYA Resort and Villas,309329,120
Alam Puri Art Museum & Resort,446879,120
Batu Belah,675736,120
Sahadewa Resort & Spa,584499,119
Lv8 Resort Hotel,3468404,119
Gustis Garden Bungalows,675604,119
Beach Melati Apartments,662882,118
Siddhartha Ocean Front Resort & Spa,1466090,118
Hu'u Villas Bali,5074244,117
Pondok Bambu,2054960,116
Kinaara Resort,7244252,115
Alam Anda Ocean Front Resort & Spa,776567,115
favehotel Sunset Seminyak,7037911,114
Villa Puri Royan,2109299,113
D'Tunjung Resort & Spa,1833097,112
Rijasa Agung - Bali Ubud Luxury Hotel Resort Villa,614387,111
Sukun Bali Cottages,659522,111
POP! Hotel Hardys Singaraja Square,7204359,111
Seaside Suites Bali,7289453,110
Sandat Glamping Tents,4840711,110
Hotel Amed Cafe,1014178,110
Swiss-Belhotel Petitenget,7353475,109
Grand Sinar Indah Hotel,614386,109
Lovina Beach Hotel,1552295,109
Poinciana Oceanside Resort & Retreat Centre,1154340,108
Mushroom Beach Bungalows,1123084,108
Poh Manis Lembongan,4876861,106
Suriwathi Beach Hotel,1373011,106
"Maxi Hotel, Restaurant & Spa",648926,106
Ubud Heaven Penestanan,4886679,105
Sadeg Lembongan,5061050,105
Pertiwi Bisma 2,4007201,105
Kiss Bali,1835831,105
HARRIS HOTEL Kuta Galleria,7149612,104
Puri Madawi,602869,102
18 Suite Villa Loft,4014390,102
Bali Lovina Beach Cottages,1153839,102
Sandat Hotel Legian,1461821,101
Svarga Loka Resort,6656612,99
Stana Puri Gopa Hotel,317486,99
Adhi Jaya Sunset Hotel,2549430,98
Seminyak Square Hotel,3973333,98
Pandawa All Suite Hotel,5892414,98
Hotel Sorga,1225120,97
Nusa Dua Retreat and Spa,1795297,96
Club Bali Suites,308054,96
Troppo Zone Puri Rama Resort,2009769,96
The Seminyak Village,2105948,96
Pande Permai Bungalows,609333,96
Amarta Beach Inn Bungalows,646195,95
Artini 3 Cottages,647119,95
WakaGangga,501705,94
Villa Markisa,1368360,93
Taman Bebek Resort & Spa,1199875,92
Hawaii Bali Hotel,3563860,92
Nugraha Lovina Bay Resort Hotel,610881,92
Samhita Garden,631955,92
Matahari Terbit Bali Deluxe Bungalows,676888,92
Mega Boutique Hotel,6922600,92
Kerti Beach Inn,1849640,92
MaxOneHotels @ Legian,6515988,91
Rini Hotel,309342,91
Vila Shanti Beach Hotel,1012556,91
Rosani Hotel,648432,90
Sanur Seaview Hotel,3186530,89
Bali Sorgawi Hotel,576982,89
Sari Sanur Resort,584920,89
Everyday Smart Hotel,2182985,89
The Harmony Legian,1544849,89
Rabasta Beach Resort Kuta,6635775,89
Scuba Seraya Resort,941643,88
Taman Rahasia Tropical Sanctuary & Spa,647532,88
Bali Bungalo,1058947,88
The Alit,1163535,88
Dhyana Pura Beach Resort,479531,86
Grand La Villais Hotel,7393609,85
Fourteen Roses Hotel,1154133,85
Royal Villa Jepun,1220880,84
POP! Hotel Nusa Dua,6847515,84
Mahagiri Panoramic Resort & Restaurant,1944623,84
Suka Beach Inn,1650975,84
Bakung Ubud Resort and Villa,8029710,83
Bali Nusa Dua Hotel,6640840,82
Kutabex Beach Front Hotel,7146434,82
Bali Segara Hotel,1163138,82
Life Style Express,1655845,82
Dampati Villas,1826678,81
Awarta Nusa Dua Luxury Villas & Spa,3812838,80
Grand Zuri Kuta Bali,6925763,80
Abangan Bungalow,678622,79
The Adma Umalas,6847513,79
Goodway Hotel & Resort,676894,79
Sal Secret Spot,8472205,78
Cozy Stay,3596074,78
Hotel Sinar Bali,643838,78
The Edge,1846942,77
favehotel Bypass Kuta,3440301,77
Aneka Beach Hotel,308744,77
Rhadana Hotel,3314222,76
Ungasan Hotel & Convention Center,6638513,75
Michi Retreat,1125669,75
NusaBay Menjangan by WHM,498929,75
Sari Beach Hotel,309344,75
Garden View Cottage,983886,74
Bali Sandy Cottages,1647873,74
Simpang Inn,676108,74
Bali Masari Villas & Spa,524403,73
COOEE Bali Reef Resort,588448,73
Natya Hotel Kuta,6200465,73
Bunga Permai Hotel,652884,72
OK Divers Resort & Spa,8070253,72
Merthayasa Bungalows,1238245,72
soulshine bali,2087231,71
Double One Villas,1216143,71
Taman Agung Hotel,785371,70
Wida Hotel,618784,70
I-Villa,6416464,69
Puri Padi Hotel,590449,69
Hotel Horison Jimbaran,6887894,69
Puri Wisata Bungalows,309333,69
The Aroma's of Bali Hotel & Residence,2287273,69
Lavender Luxury Villas & Spa Resort,1486410,68
POP! Hotel Legian Dewi Sri Bali,7263989,68
Anahata Villas & Spa Resort,677557,67
The AGUNG Residence,7099131,67
Hotel Angsoka,1220837,67
Oka7 Bungalow,1234550,67
Ulun Ubud Resort & Spa,309360,67
Villa Pantulan,1174150,66
Holiday Inn Express Bali Raya Kuta,5599917,66
Suris Boutique Hotel,3928340,66
The Haere,5602766,65
Playgrounds Resort,1526310,65
Panorama Hotel,648911,65
Berry Glee Hotel,8737524,64
Puri Mango Hotel,309327,64
Jungle Retreat by Kupu Kupu Barong,7745617,63
7 Bidadari Boutique Hotel,6780502,63
Kunti Villas,1900170,62
Puri Saron Hotel Baruna Beach Cottages Bali,1723050,62
Shunyata Villas Bali,3529797,61
Bali Chaya Hotel,7136566,61
Aqua Villa,2700087,61
Rama Phala Resort & Spa,6887915,61
Primebiz Kuta Hotel,4324296,61
Sadara Boutique Beach Resort,7314387,61
Wawa Wewe I Bungalows,1226002,60
The Graha Cakra Bali Hotel,1220373,60
The Sintesa Jimbaran,8598712,59
Ulu Segara Luxury Suites & Villas,5603572,58
Paragon Suites and Resorts,7037893,58
Bumi Ubud Resort,598215,57
Benoa Beach Front Villas & Spa,584350,57
CK Villas Bali,1572315,56
Pandawa Village Villas,7347967,56
